,clock_period,dsp_coeff,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,source_lines,num_for_loops,num_while_loops,num_total_loops,max_loop_depth,num_if_statements,num_array_accesses,num_add_ops,num_sub_ops,num_mul_ops,num_div_ops,num_arithmetic_ops,num_assignments,num_function_calls,num_var_decls,yosys_num_wires,yosys_num_wire_bits,yosys_num_pub_wires,yosys_num_pub_wire_bits,yosys_num_memories,yosys_num_memory_bits,yosys_num_processes,yosys_num_cells,yosys_total_modules,yosys_total_wires,yosys_total_wire_bits,yosys_total_pub_wires,yosys_total_pub_wire_bits,yosys_total_memories,yosys_total_memory_bits,yosys_total_processes,yosys_total_cells,openroad_clock_constraint,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area
num_array_accesses,0.001029274116793494,0.001029274116794591,-0.07322336176336423,0.13255054561756513,0.09990867477955151,-0.0700990545603224,0.17666916782734926,0.2009153969070856,0.18233243090265888,-0.2594102716702265,-0.13147723736745262,-0.25597581906660427,0.21583863744969586,,0.5570665897284128,0.5357311597229644,,0.5357311597229644,0.35370819524134506,0.3004711631515809,1.0,0.6893150029536017,0.5845173832807833,0.5383190674837911,0.11505585195355764,0.7466632370613474,0.6783070397446843,0.5495073711874482,0.16096610715629522,0.5202788749547351,0.7920272834543272,0.5202788749547351,0.7920272834543272,,,,,0.3118166274381802,0.45006020831288823,0.4896081905576621,0.44769635783687,0.507847661894028,,,,0.3912452849944957,0.20411182387169555,,,0.31645884371840666,-0.16861061364056537,0.1613981722162467,-0.191265911202859,0.31697768067881793,,,,-0.07199310816682482,-0.2565982782615149,0.06717064287549912
num_add_ops,0.0009367983409973506,0.0009367983409973202,-0.18606068034961148,0.5286847449958884,0.0857455932184358,-0.19243416629921783,-0.19639867969095168,-0.0452832731697958,-0.04353286635162604,-0.4090984819316185,-0.3168129301606341,-0.41188345279629585,-0.04689453037953248,,0.04514610560728456,0.11415381644457254,,0.11415381644457254,-0.10697525563391616,0.09510887293947172,0.6893150029536017,1.0,0.9110613327782254,0.28304729194623374,-0.08631945781157561,0.7894452998850092,0.36111803448218505,0.1320864098097043,-0.17143632832105876,0.5202788749547351,0.7920272834543272,0.5202788749547351,0.7920272834543272,,,,,0.3118166274381802,0.4500602083128881,0.489608190557662,0.44769635783687,0.5078476618940281,,,,0.3912452849944957,0.18015093964441808,,,0.30738790083523154,-0.18983714621046763,0.12436256970148166,-0.19441842290717842,0.30769707848255523,,,,0.4156038521105446,-0.2512603842464384,-0.38575878693999993
num_sub_ops,0.0007194596214379246,0.0007194596214379631,-0.3663216959951682,0.4767576547166631,0.09985425054790471,-0.37247637767043884,-0.2600481291484861,-0.1350472199211817,-0.2531998638276914,-0.5267282248330557,-0.5045133996296555,-0.5375515080022081,-0.21520582956534148,,-0.012998407938234941,0.08006152174286527,,0.08006152174286527,-0.06235925693483864,0.11797673003689613,0.5845173832807833,0.9110613327782254,1.0,0.3780757158937705,-0.33051033087041964,0.7991363513833124,0.4526243253044642,0.06995525431441169,-0.16091165671805405,,,,,,,,,,,,,,,,,,0.14404267964292217,,,0.2184150548355125,-0.11181416189573509,0.05294861617907345,-0.12625171230186513,0.2184769119177219,,,,0.4807787670000551,-0.21113514884797752,-0.4931631413014425
num_mul_ops,-0.0002810374370471124,-0.000281037437045342,-0.028279549229839218,-0.13151110129680102,0.030934296715298047,-0.03914181189094679,0.23057586700132462,0.10288931252449598,-0.0630192447143312,-0.027896461684327814,-0.16570779648905368,-0.03888239355586768,-0.044691337102015255,,0.7421262540222334,0.6625120681323363,,0.6625120681323363,0.11805188042744426,-0.38116739888631057,0.5383190674837911,0.28304729194623374,0.3780757158937705,1.0,0.193103352115935,0.8026283726515389,0.9310545471191826,0.6070268668205753,0.3156086203162022,0.5202788749547352,0.7920272834543273,0.5202788749547352,0.7920272834543273,,,,,0.31181662743817984,0.45006020831288823,0.4896081905576625,0.44769635783687,0.5078476618940279,,,,0.3912452849944958,-0.18033189631752572,,,-0.2447547259117183,0.09807581309378537,-0.11442315669588476,0.1810922953718737,-0.24470217257028865,,,,-0.19566512004870815,0.26870560094253126,0.613712163698822
num_div_ops,-2.794871351419602e-05,-2.7948713513721255e-05,0.5664193269911828,-0.25328652164973375,-0.15045502066027264,0.5619484361024144,0.21377485629600487,0.1408470253554211,0.3801741404659242,0.4497609486255439,0.5409007452781919,0.46725182212958744,0.27032676354454116,,0.6490494383052213,0.21483552634325453,,0.21483552634325453,0.09973969798662537,-0.32077046423971833,0.11505585195355764,-0.08631945781157561,-0.33051033087041964,0.193103352115935,1.0,0.1331286755074277,0.1808498444304887,0.6701302713864278,0.024498143667615345,0.5202788749547351,0.7920272834543272,0.5202788749547351,0.7920272834543272,,,,,0.3118166274381802,0.45006020831288807,0.4896081905576621,0.44769635783687006,0.507847661894028,,,,0.39124528499449573,-1.487611344637424e-16,,,-0.011368388079369995,0.01660810390713713,-0.08411878554689539,0.059317482430429586,-0.0110679203498794,,,,-0.14586499149789459,0.003194409223881801,0.40465846040693537
num_arithmetic_ops,0.00040531660151196206,0.0004053166015130274,-0.10680079785292204,0.22732921983670357,0.05466915150275174,-0.11773952231355883,0.007520228390588003,0.01940043427978004,-0.069875824073605,-0.25665453933393023,-0.27738895291088,-0.2642926416994124,-0.06678305061019167,,0.5255926849149885,0.4644158335618456,,0.4644158335618456,0.023371700359843636,-0.18991568381402085,0.7466632370613474,0.7894452998850092,0.7991363513833124,0.8026283726515389,0.1331286755074277,1.0,0.8146667144049422,0.5128616447615815,0.06391573889414774,0.520278874954735,0.7920272834543272,0.520278874954735,0.7920272834543272,,,,,0.3118166274381801,0.4500602083128881,0.4896081905576622,0.44769635783686995,0.5078476618940281,,,,0.39124528499449573,0.06260798833140423,,,0.12766844174585512,-0.09642192791635358,0.002007109384126649,-0.043846905140777145,0.12799751800567302,,,,0.2935702399230078,-0.08089596054135259,0.0421141306965637
num_assignments,-5.0812486000115945e-05,-5.081248599750599e-05,-0.05409856634403946,-0.10033542408288852,0.05812804492913633,-0.05695904735237002,0.33582195644300056,0.19264384053390232,-0.0028981202371549655,-0.06194669616777063,-0.16551174993698278,-0.07117421739086294,0.0642864264126457,,0.7934916796646925,0.7575722707664667,,0.7575722707664667,0.21973022891674251,-0.17625319540613724,0.6783070397446843,0.36111803448218505,0.4526243253044642,0.9310545471191826,0.1808498444304887,0.8146667144049422,1.0,0.7220368407319039,0.39712695212827165,0.5202788749547352,0.7920272834543274,0.5202788749547352,0.7920272834543274,,,,,0.3118166274381804,0.4500602083128882,0.489608190557662,0.4476963578368702,0.5078476618940281,,,,0.39124528499449596,-0.12013631390067035,,,-0.20390735627803522,0.12501967690908297,-0.1353283584031555,0.17275803970018627,-0.20359679559150384,,,,-0.30320488412222485,0.13372028545172238,0.7605783538641534
num_function_calls,0.0004872122060158815,0.0004872122060183879,0.18465594301319174,-0.284098049530636,-0.0299441692763584,0.18949280355197143,0.29000356032168345,0.21469464295876534,0.14610678199854044,0.11734287222720251,0.16815819086865227,0.12393180427670657,0.16195597811927093,,0.9406984531630385,0.5144216171021123,,0.5144216171021123,0.3105493527861606,-0.050924821624583665,0.5495073711874482,0.1320864098097043,0.06995525431441169,0.6070268668205753,0.6701302713864278,0.5128616447615815,0.7220368407319039,1.0,0.16876159001664381,0.5202788749547351,0.7920272834543277,0.5202788749547351,0.7920272834543277,,,,,0.31181662743818006,0.45006020831288807,0.48960819055766214,0.44769635783687006,0.507847661894028,,,,0.3912452849944958,0.07916020882196008,,,0.04837310121121452,0.0432384799254481,-0.07330750654402428,0.05308954309687634,0.04880839618039152,,,,-0.3662264349963172,-0.064550068944822,0.5067655160329704
num_var_decls,-0.001206445418993146,-0.0012064454189909734,0.23488077626321865,-0.19052464567006558,-0.0912622228190074,0.23490740665836635,0.7763195024072359,0.5051747165237103,0.4204386604343586,0.6478310638139054,0.19647640897996987,0.6293750768627648,0.4794596041374083,,0.3667882411511103,0.8263533271025834,,0.8263533271025834,0.13878439350775015,-0.27688016221419565,0.16096610715629522,-0.17143632832105876,-0.16091165671805405,0.3156086203162022,0.024498143667615345,0.06391573889414774,0.39712695212827165,0.16876159001664381,1.0,-0.5202788749547351,-0.7920272834543275,-0.5202788749547351,-0.7920272834543275,,,,,-0.3118166274381801,-0.4500602083128883,-0.48960819055766225,-0.44769635783687006,-0.5078476618940281,,,,-0.391245284994496,-0.23495450604213228,,,-0.4065685092511253,0.25587123489027036,-0.2616819639705894,0.3021729104847285,-0.40649746078667104,,,,-0.12175448988748785,0.2435323455514397,0.6930386913457209
yosys_num_wires,0.00802744882611418,0.016978129304428186,0.8038940662606712,-0.005547892956402333,-0.008125625022412989,0.8798641479419128,0.5562743089163679,0.47001505116020825,0.9365271530877055,0.5187626188808183,0.936382359682378,0.7095581101567139,0.914030965639791,,0.5202788749547351,-0.5202788749547351,,-0.5202788749547351,,,0.5202788749547351,0.5202788749547351,,0.5202788749547352,0.5202788749547351,0.520278874954735,0.5202788749547352,0.5202788749547351,-0.5202788749547351,1.0,0.9334173344958108,1.0,0.9334173344958108,,,,,0.8286231630975115,0.9267177365859366,0.7449775906843399,0.9794623731134745,0.9102005592664297,,,,0.8655712373131695,0.5,,,0.4796379261321354,0.9410425921026763,-0.9168209784771864,0.7806343242268865,0.48026084688186954,,,,,-0.670244778154876,1.0000000000000002
