evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
random_split,openroad_synth_chip_area,select_k_15,ridge,18,66,5.0,14493.894620878293,17445.520421357767,-0.2637311785054999,,,,
kfold,openroad_synth_chip_area,select_k_15,ridge,18,66,,21729.346279298516,28435.66009905107,-8.124787572190943,5.0,15618.842056468877,22146.721716200012,9.069095350838964
random_split,openroad_synth_chip_area,select_k_15,random_forest,18,66,5.0,13083.09012234999,17791.912123016,-0.31441374259136645,,,,
kfold,openroad_synth_chip_area,select_k_15,random_forest,18,66,,10606.451408103694,12365.910560408807,-1.1612638719466049,5.0,4828.818264549726,6340.207225688747,1.5986444487783267
random_split,openroad_synth_chip_area,select_k_15,gradient_boosting,18,66,5.0,14309.715316979797,20687.14182816934,-0.7770016262420536,,,,
kfold,openroad_synth_chip_area,select_k_15,gradient_boosting,18,66,,9440.175477851622,11636.157568744131,-0.6422543724703067,5.0,4821.986775538572,6358.782302427228,0.9239075851454981
random_split,openroad_synth_chip_area,select_k_15,gaussian_process,18,66,5.0,13161.856598218874,20100.030294393702,-0.6775685102882414,,,,
kfold,openroad_synth_chip_area,select_k_15,gaussian_process,18,66,,10018.178141964916,12834.239131325796,-0.3589912426717219,5.0,7669.993537124224,9801.30414393477,0.9838515442832046
random_split,openroad_synth_chip_area,pca_3,ridge,18,66,5.0,7885.8901903308215,9614.94409391215,0.6161333627869477,,,,
kfold,openroad_synth_chip_area,pca_3,ridge,18,66,,14871.070666893978,17622.027103558245,-2.983288303808962,5.0,10659.023965191647,11777.504093038075,2.401453091413571
random_split,openroad_synth_chip_area,pca_3,random_forest,18,66,5.0,14928.2476713611,19597.780400073792,-0.5947793930475398,,,,
kfold,openroad_synth_chip_area,pca_3,random_forest,18,66,,11593.937372322223,13072.758132510196,-0.8877818130264146,5.0,7642.682620508188,8425.357578107705,0.982984015985752
random_split,openroad_synth_chip_area,pca_3,gradient_boosting,18,66,5.0,13849.327469173038,19739.40024628846,-0.6179114466519839,,,,
kfold,openroad_synth_chip_area,pca_3,gradient_boosting,18,66,,13631.835896124054,16184.706743565903,-4.619192737099947,5.0,6297.9755752306155,6503.842487188222,8.300903978936187
random_split,openroad_synth_chip_area,pca_3,gaussian_process,18,66,5.0,14898.69497910309,20464.143998065087,-0.7388975981741126,,,,
kfold,openroad_synth_chip_area,pca_3,gaussian_process,18,66,,9791.636712319929,12742.209050132033,-0.3586349229541277,5.0,7687.186286559787,9791.942338062547,0.9763769525123785
random_split,openroad_synth_chip_area,pca_5,ridge,18,66,5.0,10264.329041800975,13128.582216146035,0.2843140394156508,,,,
kfold,openroad_synth_chip_area,pca_5,ridge,18,66,,18035.697325043096,22076.429583586178,-4.46830348152333,5.0,15394.681102086988,17794.747126558887,4.8372789163075325
random_split,openroad_synth_chip_area,pca_5,random_forest,18,66,5.0,15369.353033977764,20281.927352557683,-0.7080685135370985,,,,
kfold,openroad_synth_chip_area,pca_5,random_forest,18,66,,10528.76115753055,12143.731196384262,-0.5189039382925466,5.0,8842.969582867192,9742.5175853767,0.9883149237992401
random_split,openroad_synth_chip_area,pca_5,gradient_boosting,18,66,5.0,15308.262532734889,20573.87244482529,-0.757595481016107,,,,
kfold,openroad_synth_chip_area,pca_5,gradient_boosting,18,66,,12522.182606519385,14644.85138734692,-1.8863210087051976,5.0,8156.812525941565,7964.531660664633,2.643400973761068
random_split,openroad_synth_chip_area,pca_5,gaussian_process,18,66,5.0,14478.728289988107,20302.552283669742,-0.7115441898968897,,,,
kfold,openroad_synth_chip_area,pca_5,gaussian_process,18,66,,9870.311624066942,12671.317058468134,-0.3416681006738075,5.0,7867.125826001182,9914.43350178327,1.0016283256891536
random_split,openroad_synth_chip_area,pca_10,ridge,18,66,5.0,6829.700137144231,8542.710605492335,0.6969751603092266,,,,
kfold,openroad_synth_chip_area,pca_10,ridge,18,66,,14784.639544389047,19521.907617136814,-3.5676301585866286,5.0,13767.504637340224,18472.275757727104,4.908514998270349
random_split,openroad_synth_chip_area,pca_10,random_forest,18,66,5.0,13920.013108677778,19215.790223478663,-0.5332159879069123,,,,
kfold,openroad_synth_chip_area,pca_10,random_forest,18,66,,10200.569694527318,11835.298578160247,-0.3679307177244607,5.0,7199.264942155269,8618.182769058623,0.7017914755303116
random_split,openroad_synth_chip_area,pca_10,gradient_boosting,18,66,5.0,12370.996899574722,17877.8174473523,-0.3271372468650382,,,,
kfold,openroad_synth_chip_area,pca_10,gradient_boosting,18,66,,10826.73032089233,12757.055783274203,-1.4626207903989592,5.0,6540.220506501346,6893.1434643072025,2.739787654557989
random_split,openroad_synth_chip_area,pca_10,gaussian_process,18,66,5.0,14147.808260423126,20245.435320616947,-0.7019275964940681,,,,
