evaluation,target,model,reduction,use_log_transform,rows,features,test_rows,mae,rmse,r2,relative_mae,feature_mode,include_benchmark_onehot,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups
kfold,openroad_total_power,elasticnet_a0.1_l10.2,none,False,18,58,,0.035895461519625284,0.05037266450326331,-71.64219462649609,2.088221414406027,ratios,False,5.0,0.036466761718264594,0.06318600930911432,100.87499450085777,1.3194039077465196,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.2,none,False,18,58,,0.025369381487889277,0.0273498962004765,-2.3259124257316834,2.5297192428270416,ratios,False,,0.039074436898160904,0.047014995091894926,,1.7675437955055775,17.0
random_split,openroad_total_power,elasticnet_a0.1_l10.5,none,False,18,58,5.0,0.027253348046202126,0.032427420612132475,-0.14876194433302636,0.839442741520425,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.1_l10.5,none,False,18,58,,0.040369928366006606,0.0539014772790284,-147.47908794265192,2.864532617704094,ratios,False,5.0,0.033582145773141295,0.060588746742751574,208.50942325274775,2.045855793300777,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.5,none,False,18,58,,0.0310012200321305,0.032981734744717724,-2.3259124257316834,3.6473819014809794,ratios,False,,0.036972519529384046,0.045020697732872685,,2.448552782507749,17.0
random_split,openroad_total_power,elasticnet_a0.1_l10.8,none,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.1_l10.8,none,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.8,none,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
random_split,openroad_total_power,elasticnet_a1.0_l10.2,none,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a1.0_l10.2,none,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a1.0_l10.2,none,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
random_split,openroad_total_power,elasticnet_a1.0_l10.5,none,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a1.0_l10.5,none,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a1.0_l10.5,none,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
random_split,openroad_total_power,elasticnet_a1.0_l10.8,none,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a1.0_l10.8,none,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a1.0_l10.8,none,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
random_split,openroad_total_power,pls_2,none,False,18,58,5.0,0.11384407146925897,0.1297711706542902,-17.397621309232424,3.506562911022576,ratios,False,,,,,,
