evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
random_split,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,none,18,64,5.0,0.045340001155141314,0.053412361175013,-2.116655388288971,1.3965379521696946,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,none,18,64,,0.04212863267053203,0.05528923835581132,-167.50821504622945,2.6482053964456096,False,5.0,0.03145354973899146,0.05291601091651992,300.71796755929466,1.752537731649259,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.001_l10.5,robust,none,18,64,,0.03275208066978847,0.03476783721651222,-2.229537426411031,3.521499220776815,False,,0.03646922181298114,0.04449639420333698,,1.9469823522809862,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,none,18,64,5.0,0.04460334761685763,0.05204179021871538,-1.9587596398696623,1.3738479522225595,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,none,18,64,,0.04210890511719192,0.05533893052513752,-164.85194313659616,2.6301872808685203,False,5.0,0.03202349330713394,0.05402011756608881,295.45834042775186,1.7334051408152806,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.001_l10.8,robust,none,18,64,,0.032560943669598226,0.03457670021632198,-2.229537426411031,3.4874716443805567,False,,0.03651484537041382,0.04454298622573384,,1.9283132690408797,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,none,18,64,5.0,0.04165673333278279,0.04673846555975393,-1.386459843454598,1.2830879484008741,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,none,18,64,,0.042029994870745616,0.055583804551694274,-154.4750329201092,2.5581148175850137,False,5.0,0.03443609437538389,0.05860410261778796,274.88006729067513,1.6582421414209223,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.2,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,none,18,64,5.0,0.034290197964438295,0.035421543110111454,-0.3706929667833099,1.0561879493759097,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,none,18,64,,0.040078822882238366,0.053056800936767734,-150.00064435570098,2.4837321600816376,False,5.0,0.03503782969256025,0.060145502511875316,266.4721830812407,1.6787251944547579,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.5,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,none,18,64,5.0,0.02692366256974423,0.029454128787643998,0.05224170681098994,0.8292879495393403,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,none,18,64,,0.038246099970510275,0.0519539267141985,-149.92120400452885,2.43702073121129,False,5.0,0.035613264285133533,0.060591893941773625,266.52798716597914,1.736457544947692,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.01_l10.8,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.1_l10.2,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.1_l10.2,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.1_l10.2,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.1_l10.5,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.1_l10.5,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.1_l10.5,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
