evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
random_split,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_5,18,64,5.0,3372.914577518207,4539.0089183955315,0.9144521865867965,0.06494717201333118,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_5,18,64,,4427.562018222325,5992.056151563788,0.09297450637038418,0.11736636085128219,False,5.0,1498.8493500699547,2055.7240062146457,1.378529229788803,0.06329020553197327,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_5,18,64,,7328.0231050992115,7328.0231050992115,0.0,0.2036061227833656,False,,6328.187926945532,6328.187926945532,,0.20451118842427435,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a0.1,robust,select_k_10,18,64,5.0,15495.050263944544,18326.22666297862,-0.39454633561981445,0.2983650109479201,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a0.1,robust,select_k_10,18,64,,10626.835993833516,12406.901006565899,-1.361011356730155,0.24815287015501908,False,5.0,5017.5687478308455,6115.396545186508,1.8337596093533701,0.0641573963761105,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a0.1,robust,select_k_10,18,64,,11063.017493318703,11063.017493318703,0.0,0.35924020927971256,False,,6868.496319650205,6868.496319650205,,0.40309363910224283,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a1,robust,select_k_10,18,64,5.0,10245.320650111411,10935.157109746457,0.5034798297752456,0.19727881845265263,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a1,robust,select_k_10,18,64,,8735.562677734733,10045.34824043624,-0.8974890174142036,0.20885361229163762,False,5.0,2688.4273231953066,2583.033399624789,1.834871019694074,0.02839251497810801,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a1,robust,select_k_10,18,64,,8993.599010854994,8993.599010854994,0.0,0.2711563051097614,False,,5328.563319128391,5328.563319128391,,0.2439487698529239,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a10,robust,select_k_10,18,64,5.0,10082.059009511308,11472.801463620468,0.4534551607756856,0.19413513318830908,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a10,robust,select_k_10,18,64,,7985.47266497441,9388.228966712759,-0.6754663078899755,0.19305218282918946,False,5.0,2892.9531670592673,3101.102819906713,2.107088703004886,0.048790191418172,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a10,robust,select_k_10,18,64,,7530.171082700879,7530.171082700879,0.0,0.2040667821480702,False,,5232.928877063443,5232.928877063443,,0.18308393549417143,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,robust,select_k_10,18,64,5.0,22994.742829358856,30660.87178819813,-2.9035148835199394,0.4427753753074768,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,robust,select_k_10,18,64,,12723.368637496558,15329.582103640729,-1.911552364363142,0.29416511044523685,False,5.0,8715.014806942674,11769.638159024398,2.0318025265444293,0.13926479196603006,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,robust,select_k_10,18,64,,11413.374163575194,11413.374163575194,0.0,0.37607651581458124,False,,7132.025730373698,7132.025730373698,,0.4419540112393089,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,robust,select_k_10,18,64,5.0,23707.132027266183,31868.13177618436,-3.2169655203602856,0.4564927887532006,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,robust,select_k_10,18,64,,12833.397203096183,15574.856757366779,-1.9569468785189863,0.29620014061304284,False,5.0,9136.980602892081,12321.152339533137,2.090326436978467,0.1481991146315287,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,robust,select_k_10,18,64,,11378.517445873276,11378.517445873276,0.0,0.3757262140261763,False,,7155.519072677398,7155.519072677398,,0.44422312470404446,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,robust,select_k_10,18,64,5.0,24516.44528175919,33245.47222088185,-3.5893571201126715,0.4720765238120652,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,robust,select_k_10,18,64,,12826.743976034037,15807.62758599153,-1.9973287620351616,0.2954662882253624,False,5.0,9654.225925819612,12883.939599634814,2.1506825853951317,0.16025358904172454,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,robust,select_k_10,18,64,,11237.099880738675,11237.099880738675,0.0,0.37246878249439735,False,,7175.738784747942,7175.738784747942,,0.4459835253425962,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,robust,select_k_10,18,64,5.0,14965.77732419584,17484.983387216238,-0.26945493847200486,0.28817359344538923,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,robust,select_k_10,18,64,,10321.860188433257,12023.854726150497,-1.2935513524687439,0.2413819790523178,False,5.0,4676.462335434076,5598.089446850332,1.8450021376373351,0.05760023616488393,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,robust,select_k_10,18,64,,10672.771389611326,10672.771389611326,0.0,0.3435373192089341,False,,6558.870015005442,6558.870015005442,,0.3781858197130836,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,robust,select_k_10,18,64,5.0,15691.936120589602,18581.357926959565,-0.43364538026378674,0.3021561474574985,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,robust,select_k_10,18,64,,10538.298362535059,12319.395607276861,-1.3447043875011182,0.24558467410723464,False,5.0,5076.453171775542,6213.174212367806,1.8349131402596983,0.06503182556773474,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,robust,select_k_10,18,64,,10763.028441237626,10763.028441237626,0.0,0.3475676693917472,False,,6703.871695425827,6703.871695425827,,0.38800076295952823,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,robust,select_k_10,18,64,5.0,17175.721792912453,20901.328871075104,-0.8139889566646172,0.33072718923056826,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,robust,select_k_10,18,64,,10922.739205304943,12875.756514640281,-1.435621649564351,0.25270616411297364,False,5.0,5898.130016668364,7457.66821398429,1.8086636565915368,0.08049062060621781,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,robust,select_k_10,18,64,,10840.325559478328,10840.325559478328,0.0,0.3517381195950714,False,,6887.3048445302775,6887.3048445302775,,0.4002206486290844,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,robust,select_k_10,18,64,5.0,9321.37694569601,9795.733268978911,0.6015620072333829,0.17948781624308735,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,robust,select_k_10,18,64,,8368.542638348,9621.694308859738,-0.790964928656766,0.2018487600470508,False,5.0,2350.5533312941147,2078.85880502499,1.8135599141460683,0.03075302773098625,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,robust,select_k_10,18,64,,8526.64981170484,8526.64981170484,0.0,0.2522422592421128,False,,5009.770708882327,5009.770708882327,,0.21924848615283873,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,robust,select_k_10,18,64,5.0,8821.194643372217,9219.362646159114,0.6470699495423259,0.16985655364201954,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,robust,select_k_10,18,64,,8212.327939732004,9523.918678948938,-0.7347491231734425,0.19832220642581946,False,5.0,2379.8463812620175,2049.3878891990034,1.7479392908702107,0.03395954290346172,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,robust,select_k_10,18,64,,8850.535925383676,8850.535925383676,0.0,0.2659946322251152,False,,5003.5866734534375,5003.5866734534375,,0.24202057191794443,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,robust,select_k_10,18,64,5.0,8949.184244163287,9390.462334412563,0.6338485220262213,0.17232105798313205,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,robust,select_k_10,18,64,,8078.950018400625,9480.309695692004,-0.719014462729251,0.1949449129474834,False,5.0,2439.952308496441,1998.8091900749373,1.7371087584097944,0.03578272734814157,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,robust,select_k_10,18,64,,9315.009281165676,9315.009281165676,0.0,0.28414501091291716,False,,5026.943010686814,5026.943010686814,,0.27002793111381085,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,robust,select_k_10,18,64,5.0,10107.092987178534,11787.776947247383,0.4230334170992226,0.1946171750593272,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,robust,select_k_10,18,64,,7772.59078182102,9447.555637990985,-0.6797022172992494,0.18825106733797822,False,5.0,3484.4642570645888,3691.601413226959,2.229887232177639,0.06505883387341033,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,robust,select_k_10,18,64,,7411.729322537535,7411.729322537535,0.0,0.1973619080768281,False,,5839.478864048999,5839.478864048999,,0.19611854915989327,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,robust,select_k_10,18,64,5.0,9620.065589957729,11390.123149875417,0.4613040868053302,0.1852392167933996,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,robust,select_k_10,18,64,,7845.982639810512,9595.461368007858,-0.7581047541249707,0.1901007336997748,False,5.0,3339.6584993553984,3760.0181784973392,2.371135967775569,0.06103839334805045,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,robust,select_k_10,18,64,,7697.433347517919,7697.433347517919,0.0,0.2027324833289555,False,,5715.8367099568195,5715.8367099568195,,0.2021949787202228,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,robust,select_k_10,18,64,5.0,9190.118888371766,11201.892363095014,0.4789617194158764,0.17696037612231025,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,robust,select_k_10,18,64,,7881.021318244425,9624.680045943587,-0.7921790863869448,0.19127654188235876,False,5.0,3086.7392714781085,3488.097229172376,2.3900916344496648,0.055939541680745025,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,robust,select_k_10,18,64,,7626.7924655121,7626.7924655121,0.0,0.19932324893570427,False,,5683.473391034038,5683.473391034038,,0.20655368950480768,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_matern,robust,select_k_10,18,64,5.0,3305.0753823897785,3718.4362723626477,0.9425873587300475,0.06364089408248187,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_matern,robust,select_k_10,18,64,,5685.484899207274,7002.618851393556,-0.2827551197451148,0.14796187470226765,False,5.0,3145.198059482769,3565.4867707835756,1.7975233280748786,0.08792103077270483,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_matern,robust,select_k_10,18,64,,6626.772078175742,6626.772078175742,0.0,0.19514082037229308,False,,5298.159585270123,5298.159585270123,,0.2062975822779222,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_rbf,robust,select_k_10,18,64,5.0,4442.481358578587,5122.153722753834,0.8910588243756034,0.08554222003864646,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_rbf,robust,select_k_10,18,64,,6207.15237660841,7469.520803190734,-0.41980454104813114,0.15988393461518516,False,5.0,3613.109116098357,3932.2606801934853,1.9887859085150024,0.09596780079288214,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_rbf,robust,select_k_10,18,64,,6902.860156344378,6902.860156344378,0.0,0.20228451061622904,False,,5422.051129134216,5422.051129134216,,0.2075822950147966,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_10,18,64,5.0,5577.862834103762,6778.178868990554,0.8092287647156243,0.10740456321305947,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_10,18,64,,6487.209770091128,7730.269331643207,-0.0780780455265051,0.16481133801922956,False,5.0,4275.808585681858,4246.58503810485,1.169799890284953,0.10849101595516553,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_rq,robust,select_k_10,18,64,,6964.513418414593,6964.513418414593,0.0,0.19898294480109271,False,,5874.285490695083,5874.285490695083,,0.22518828278704558,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,81,5.0,6722.134813096729,7067.530594071202,0.7925935606982337,0.12943809751749885,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,81,,7479.701379104079,9069.627173351535,-0.48483781213042015,0.18259188715398794,True,5.0,4978.569816756877,6615.373865985251,1.5206543951591873,0.11470975700022316,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,81,,8599.414089030575,8599.414089030575,0.0,0.2628761800847643,True,,8680.849953216211,8680.849953216211,,0.3608777578761083,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,81,5.0,6723.680289156541,7053.219228221197,0.7934326838122492,0.1294678564388093,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,81,,7457.421757034087,9070.530270534471,-0.4787209536642239,0.18204699401080068,True,5.0,4954.09922175926,6685.442753980396,1.5268701232381134,0.11411296854037471,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,81,,8556.9032113357,8556.9032113357,0.0,0.26228000801293233,True,,8793.171967414704,8793.171967414704,,0.36569737325146523,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,81,5.0,6805.329671190522,7044.096167179565,0.793966711578479,0.1310400564865333,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,81,,7394.323167621417,9180.435486907754,-0.5002187583759519,0.18001020028402623,True,5.0,4879.704547482124,7190.919519509659,1.6492573876370036,0.11152875787205185,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,81,,8363.548742087736,8363.548742087736,0.0,0.25898539572945817,True,,9522.537136241877,9522.537136241877,,0.39636565833686493,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,81,5.0,8221.08169272143,8945.193395175316,0.6677489896124648,0.15830107598683898,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,81,,7726.950815563752,9242.245324224617,-0.6076389415975099,0.1878616693532829,True,5.0,2791.485641151888,3021.891771793685,1.3559388695419163,0.05799859438306095,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,81,,8807.20173458236,8807.20173458236,0.0,0.25746029857302855,True,,7056.06944233734,7056.06944233734,,0.28656593023362475,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,81,5.0,8769.589739522478,9649.876805386024,0.6133389914746175,0.16886287518084533,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,81,,7317.6702614031265,8548.281736551718,-0.48506507002644145,0.17896213295549962,True,5.0,1817.003247748118,1784.0743315610164,1.5124228678395977,0.03542608812284819,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,81,,8212.28891151303,8212.28891151303,0.0,0.23932769153986685,True,,5679.457280495238,5679.457280495238,,0.22658492446966944,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,81,5.0,9255.954411986673,10087.576825190486,0.577467079071434,0.17822807234720286,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,81,,6902.443333489265,8195.664099062564,-0.09367695470286663,0.16544632334078765,True,5.0,2626.8760875392927,2555.6192768773685,0.8902060816631001,0.03929918757097524,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,81,,8090.631850781917,8090.631850781917,0.0,0.26510763084947697,True,,8957.540944026072,8957.540944026072,,0.3809328766554485,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,81,5.0,8961.489187619805,9987.170087534234,0.5858365841390369,0.17255799587791645,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,81,,8529.724643464539,10519.937888229695,-1.0485899419907851,0.20554180700988295,True,5.0,3928.044971326492,5327.077438521654,1.6601279541821974,0.08243608331427728,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,81,,9639.849285169124,9639.849285169124,0.0,0.2890573894247381,True,,9355.546478185755,9355.546478185755,,0.38810726474810564,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,81,5.0,9166.734881646758,10072.651693856333,0.5787164760559143,0.17651010527428676,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,81,,7640.150578962775,9149.31358737941,-0.6584166878895533,0.18516775589807094,True,5.0,2057.252359020002,1899.3453202576893,1.6180513579377032,0.032171719814097666,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,81,,9988.692330850807,9988.692330850807,0.0,0.31255656462011927,True,,11334.952173613761,11334.952173613761,,0.4743052225190876,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,81,5.0,9487.443855882255,10042.326567907852,0.5812493234397563,0.18268551838872674,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,81,,6759.093803212345,8097.259394251986,-0.07711868608836255,0.1627703839645015,True,5.0,2294.9236364189346,2001.714971490629,0.8711924126216724,0.03599180153961889,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,81,,6724.4617654619315,6724.4617654619315,0.0,0.21349654375923038,True,,5099.28441315625,5099.28441315625,,0.22112536833079088,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,81,5.0,8951.202563877738,9859.41102020354,0.5963650302228577,0.17235992174758846,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,81,,8619.195833653206,10620.135664978428,-1.0838478617332516,0.2076656228090954,True,5.0,4018.895975345086,5732.353606371729,1.7256754787002326,0.08460553218000313,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.2,standard,none,18,81,,9596.534349712238,9596.534349712238,0.0,0.2900406647056663,True,,9922.367639198796,9922.367639198796,,0.4110145459596182,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,81,5.0,9013.301603435819,9621.788097196282,0.6155866888745842,0.17355567008670264,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,81,,7576.383940346217,9018.944055561966,-0.6044650998227837,0.18354517151048472,True,5.0,1974.9681513360572,1866.7828003711136,1.5868376855663786,0.029022797481189064,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.5,standard,none,18,81,,9467.725329733585,9467.725329733585,0.0,0.2954389878018895,True,,10703.169586851116,10703.169586851116,,0.44508149855664536,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,81,5.0,9195.234978367966,9561.813595835767,0.6203640012099121,0.17705888901653935,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,81,,6626.021243924639,7848.296088832804,-0.07342531828240592,0.16026746921822493,True,5.0,2033.8380747106319,1743.0242372381638,1.0275522963481378,0.030498821000116996,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.1_l10.8,standard,none,18,81,,7342.139761086319,7342.139761086319,0.0,0.23385107045343267,True,,6035.125757059035,6035.125757059035,,0.2600015104212892,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,81,5.0,8749.217953441168,9144.030790439823,0.652814002648024,0.16847060616114926,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,81,,8451.780671567765,10488.118200390742,-1.1052935451427826,0.20151244694012793,True,5.0,4314.892869304969,6475.734142645991,2.139400745889104,0.08908956626100466,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.2,standard,none,18,81,,8730.095059690986,8730.095059690986,0.0,0.26473497493811954,True,,10391.236269446064,10391.236269446064,,0.42620204258472977,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,standard,none,18,81,5.0,8391.645822065537,8827.772485620826,0.6764144609224251,0.16158537435646053,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,standard,none,18,81,,7033.525966809258,8150.2704585030615,-0.7708387254362988,0.171774995268744,True,5.0,2638.3488991852323,2465.3549407579953,2.884480886539579,0.05510509936928646,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.5,standard,none,18,81,,7051.248802214676,7051.248802214676,0.0,0.20497930510606596,True,,6020.95363592456,6020.95363592456,,0.2353766407928726,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,standard,none,18,81,5.0,7208.854513217894,7703.18091230968,0.7536077539220959,0.13881013092052258,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,standard,none,18,81,,6856.873318379219,7961.552027551423,-0.878152724913889,0.17270728778111222,True,5.0,2738.4296624143835,2831.7937674538175,3.2919211232793057,0.0747667054853659,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a1.0_l10.8,standard,none,18,81,,6477.983112084951,6477.983112084951,0.0,0.18851687788860472,True,,5023.781276343032,5023.781276343032,,0.19251541283641635,17.0
random_split,area_ratio,openroad_synth_chip_area,pls_2,standard,none,18,81,5.0,8025.103516712152,8335.365119424636,0.7115064565857143,0.1545274173258779,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,pls_2,standard,none,18,81,,8447.328660473398,11041.894269726596,-1.2312678086908346,0.20143184302760084,True,5.0,6467.838265545866,10444.859075096168,3.078321941802853,0.14566127780546104,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,pls_2,standard,none,18,81,,9126.35947395064,9126.35947395064,0.0,0.28849766850184233,True,,13134.96792724194,13134.96792724194,,0.5446284836508003,17.0
random_split,area_ratio,openroad_synth_chip_area,pls_3,standard,none,18,81,5.0,4207.838714542786,4748.211420341087,0.9063846774703614,0.0810240575374576,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,pls_3,standard,none,18,81,,6987.889412786821,9246.33598308431,-0.8065771580255578,0.17298033099383303,True,5.0,6219.867413640406,9559.813687019383,2.4339107088351595,0.14443207214671963,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,pls_3,standard,none,18,81,,8108.334458056279,8108.334458056279,0.0,0.26447388255214516,True,,11678.046061280933,11678.046061280933,,0.4796274821154888,17.0
random_split,area_ratio,openroad_synth_chip_area,pls_5,standard,none,18,81,5.0,6669.497358047364,7065.165192877568,0.792732369390821,0.12842453676199628,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,pls_5,standard,none,18,81,,7330.373383067138,9023.176348864134,-0.4734264392479231,0.17913581262061803,True,5.0,4802.395539828081,6361.591927129443,1.4464605316225057,0.11069682720377297,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,pls_5,standard,none,18,81,,8548.13155589714,8548.13155589714,0.0,0.26161899830549057,True,,8240.66048363374,8240.66048363374,,0.34402089609354364,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_matern,standard,none,18,81,5.0,6272.062560734732,8379.245349024346,0.708461002946773,0.12077172921175595,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_matern,standard,none,18,81,,7145.597742072625,8940.539047450187,-2.083479512662961,0.1816858644549783,True,5.0,3600.0383418678484,3651.2341619692083,5.829258120193667,0.09923785456906267,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_matern,standard,none,18,81,,6212.688921084891,6212.688921084891,0.0,0.19009032954888477,True,,5902.68507204194,5902.68507204194,,0.2192507427245629,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_rbf,standard,none,18,81,5.0,6303.946604446066,8449.150565163176,0.7035762888983061,0.12138567256069314,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_rbf,standard,none,18,81,,7148.522565575918,8950.970903531492,-2.084100647633829,0.18171920164888614,True,5.0,3601.531794562851,3653.75294369648,5.829941645439539,0.0992084564661032,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_rbf,standard,none,18,81,,6202.9930200458875,6202.9930200458875,0.0,0.1899051692558512,True,,5907.762910722597,5907.762910722597,,0.21936492677444966,17.0
random_split,area_ratio,openroad_synth_chip_area,gpr_rq,standard,none,18,81,5.0,4889.131154786104,5154.649083379532,0.8896721763880683,0.09414268722431515,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,gpr_rq,standard,none,18,81,,6295.834041048749,7044.479898552452,0.02139182275253777,0.16194117657536722,True,5.0,2526.6415365278867,2923.2548070180615,0.925285421176913,0.07660784679023958,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,gpr_rq,standard,none,18,81,,6452.971952352274,6452.971952352274,0.0,0.18312474742644627,True,,5542.351301895009,5542.351301895009,,0.20773694662118874,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,select_k_5,18,81,5.0,4598.865516939889,6588.147472217573,0.8197756509688836,0.08855347591240915,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,select_k_5,18,81,,6516.304693592674,8165.42426970953,-0.8505196911400763,0.16438098955648678,True,5.0,1013.4239793482559,910.5648085823982,2.5859816949520953,0.04343701895063644,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,select_k_5,18,81,,7060.955982537471,7060.955982537471,0.0,0.25108350066836344,True,,5784.849975360725,5784.849975360725,,0.37210826099023453,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a1,standard,select_k_5,18,81,5.0,7215.677838599886,8315.847233839813,0.7128559335286521,0.13894151749350045,True,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a1,standard,select_k_5,18,81,,6869.488125787039,8353.742682890754,-0.7133341351840222,0.17028895533775174,True,5.0,1477.33600329979,1275.4966481879094,2.420222633229202,0.03993810160036568,
