evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,ridge_a10,robust,select_k_10,18.0,33.0,,7384.257981775464,7384.257981775464,0.0,0.21451345351415477,,5327.411257491397,5327.411257491397,,0.2216444486329511,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.2,robust,select_k_10,18.0,33.0,5.0,18330.71978513276,23598.453234112472,-1.3123518492320119,0.352967258331571,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.2,robust,select_k_10,18.0,33.0,,25478.866977956022,30878.816386419552,-12.825160421736282,0.8249584580532477,5.0,32212.362300309283,38996.07859297565,21.463974496149664,1.295121558358391,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.2,robust,select_k_10,18.0,33.0,,15600.303200060971,15600.303200060971,0.0,0.7451758654341782,,20864.620762867464,20864.620762867464,,1.7317685053209755,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.5,robust,select_k_10,18.0,33.0,5.0,18451.07743371931,23736.534160278905,-1.339491408994541,0.3552848055822406,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.5,robust,select_k_10,18.0,33.0,,28036.274967610887,33703.234113842445,-15.87583494342293,0.9180289033185695,5.0,37174.08134595138,44870.704188108524,27.80254958895302,1.4859311584399093,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.5,robust,select_k_10,18.0,33.0,,16569.430006394716,16569.430006394716,0.0,0.8137492504587995,,23411.148382769177,23411.148382769177,,1.9438170418696883,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.8,robust,select_k_10,18.0,33.0,5.0,18644.101511740868,23964.6276615059,-1.3846695867701535,0.3590015815959412,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.8,robust,select_k_10,18.0,33.0,,31263.33970958561,37037.45099646869,-19.875494338512812,1.0338300139185967,5.0,43140.548512287845,51752.98353255697,36.31259056639227,1.7164075171677238,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.001_l10.8,robust,select_k_10,18.0,33.0,,17991.40261884325,17991.40261884325,0.0,0.9063760664883146,,26494.97461290531,26494.97461290531,,2.2037854870507707,17.0,
