experiment,evaluation,target,model,feature_set,reduction,scaler,benchmark_onehot,mae,rmse,r2,relative_mae,rows,features,normalized_target
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,pca_5,pca_5,standard,,12522.182606519384,14644.85138734692,-1.8863210087051976,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,pca_5,pca_5,standard,,14478.728289988108,20302.552283669746,-0.7115441898968897,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,pca_5,pca_5,standard,,9870.311624066942,12671.317058468134,-0.3416681006738075,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,pca_10,pca_10,standard,,6829.700137144231,8542.710605492335,0.6969751603092266,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,pca_10,pca_10,standard,,14784.639544389049,19521.90761713681,-3.567630158586629,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,pca_10,pca_10,standard,,13920.013108677778,19215.790223478663,-0.5332159879069123,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,pca_10,pca_10,standard,,10200.569694527318,11835.298578160247,-0.3679307177244607,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,pca_10,pca_10,standard,,12370.996899574722,17877.8174473523,-0.3271372468650382,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,pca_10,pca_10,standard,,10826.73032089233,12757.055783274203,-1.4626207903989592,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,pca_10,pca_10,standard,,14147.808260423126,20245.435320616947,-0.7019275964940681,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,pca_10,pca_10,standard,,10605.50687072557,13367.534992852054,-0.557143533460801,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,all_features,all_features,standard,,0.8813429084707636,1.0801739133777748,0.1853036585426885,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,all_features,all_features,standard,,2.617015491709764,3.125425803869201,-128.13820523879463,,18.0,66.0,
